name,ticker,country
Lockheed Martin,LMT,USA
Raytheon Technologies,RTX,USA
Northrop Grumman,NOC,USA
General Dynamics,GD,USA
BAE Systems,BAESY,UK
Thales,HO.PA,France
Saab AB,SAAB-B.ST,Sweden
Leonardo S.p.A.,FINMY,Italy
Elbit Systems,ESLT,Israel
Rheinmetall,RNMBF,Germany
Kongsberg Gruppen,KOG.OL,Norway
Boeing Defense,BA,USA
Airbus,EADSY,Netherlands
Hanwha Aerospace,012450.KQ,South Korea
Textron,TXT,USA
L3Harris Technologies,LHX,USA
Huntington Ingalls Industries,HII,USA
Embraer Defense,ERJ,Brazil
Oshkosh Corporation,OSK,USA
Curtiss-Wright,CW,USA
Kratos Defense,KTOS,USA
CACI International,CACI,USA
Leidos,LDOS,USA
Mercury Systems,MRCY,USA
